"","name","Grain.yield...bu.ac","Grain.test.weight...lbs.bu","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX","ranking"
"104","18-16837",0.20652848370662,0.0202742090340209,-4.14379479912267,-14.9454456995026,-19.1948066331214,-0.123616190221412,-0.0581146666312691,0.801514042805798,2.33084374669829,125
"106","18-17108",2.65835437601498,0.68459142452928,1.70947976149089,4.3079439992681,4.25768640020691,0.903257347467928,-0.616560962353411,-0.536128624982141,5.24855085003183,79
"107","18-17119",-0.391795909623625,-0.183401238284567,1.2181353729997,5.76816614518853,7.555068210485,-1.51192496185374,0.204020499405299,-0.535826357428767,3.41924926087231,105
"108","18-17141",2.95745739887208,0.597821695150806,0.0834100336887786,3.33925463369049,4.60555977700304,0.561425110303446,0.578186818399555,-1.75075921844819,3.39271425933736,106
"111","18-17905",5.71206096035955,-0.36549372038786,0.251188516499566,-0.379271050768267,0.00477907169249647,2.3373236878171,0.0846774560875367,2.06632713284875,5.38118398868564,74
"116","18-19625",2.14368825321435,-0.591525388851103,-3.2001399346034,-10.4296168530078,-12.9844172850033,-1.03783484711769,0.0662916515449972,1.16547656417258,9.57244649178556,35
"118","18-19907",-1.37226470550426,-0.392374653422074,-0.0263371961673879,-1.9845448157317,-1.89872927481768,-1.2745296818662,-0.179485212125932,0.772694490146807,1.83962402198925,131
"120","18-20951",3.85402805828835,-1.02946474807322,5.53110497265279,15.9675030973497,21.1360585054442,0.792105882734404,0.625656292968181,0.487779772695703,3.00261128394982,117
"125","18-22132",4.1250515757631,1.53880559684584,-4.53526615949165,-10.2599695852925,-12.5417977500974,0.114645328052376,0.469023311022571,-3.12972036667253,9.67474840422761,33
"126","18-22144",6.67578041080968,0.121028754691054,-6.3325959677099,-19.6862197691666,-25.1964473763448,2.24881769513473,0.488678352566733,-1.70324675016073,8.16971582780608,46
"129","18-22767",5.5563843828409,-0.806515270681821,-3.82075220409277,-11.9543227746163,-14.6642091962364,0.580375479387442,0.54062896428502,2.49904185191484,10.741364546916,29
"130","18-22976",8.68399227858829,0.44995948277451,-2.87245208430422,-4.5643673262027,-4.77590604480975,2.94213687914072,1.2004294118166,-0.0289227368081404,7.60958385928393,51
