"","name","FHB.DON.content...ppm.","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX"
"96","16-36206",-3.23070320543852,-15.7251640941996,-29.2090999995101,-21.3509537585723,0.33153729540215,2.36979441250203,-1.15944409513779,1.0305961596308,-0.0247484288767064,70.40560553351
"97","16-36752",1.44007337538336,-3.96353748138107,-5.57486597256204,-15.2346530195259,-0.64137812494004,11.766044699203,1.61155551374921,1.17357537201486,0.0153143513493728,73.4358942393742
"98","16-37107",-2.21898312258338,-5.23821471215642,-3.13794456858845,-0.638224653660082,0.398006096722575,-1.95166181151457,-2.51910832198223,0.0454091106706116,1.24902018865407,10.8244577812652
"101","16-4364",-1.29388088377885,-13.9504812512038,-6.78778481375712,-11.9824704573866,-0.54458563877192,6.5740462868969,1.0392630630032,0.586605612650494,-0.724257942654654,50.418887338937
"106","16-6214",1.07024731259716,-14.333602481982,-11.436474721165,-18.3841162856294,0.628430301646809,6.44792579187708,3.68890043339329,2.53635100171427,0.913155407140977,44.0779662344767
"110","16-7828",-0.96496189691187,-8.39447703223013,9.30605379214428,9.15493909844566,0.00383341228992151,3.640952464911,1.30324952372709,1.26344282697485,-0.27523230711458,-6.19384405526835
"112","16-8048",-3.0801773798499,-25.9869917890454,-23.9616168494336,-23.0985909360881,0.629318917230627,12.5277560907939,0.908409532581487,1.81852346527597,1.68747400926642,109.810554104699
"113","16-8605",-3.57587310411854,-14.5007744420918,-11.6802294156876,-9.64792367725347,0.255622178252125,1.20155616261815,-2.3653135397609,0.177075100722654,0.880228553613251,45.665423912834
"114","16-8737",-2.47624095418693,-20.4988614111766,-7.30912384613308,-1.85852248861201,0.599166460599193,8.60912946018748,2.03030337195409,2.81983800959441,0.522402895113637,42.1318830508016
"115","16-8739",0.574772038607325,-7.0692263892805,16.7100230683562,9.57506076132506,-0.746846111248118,10.1907504349339,2.54562107977449,1.42343406127411,0.525037212901741,12.7211505645537
"116","16-8834",0.436191571036375,-9.32318915910271,-11.5354852224634,-17.2796558164614,1.04297633948909,6.1647750448311,1.25800130359417,1.42612247189058,1.66905506446545,55.9807092531327
"123","17-10948",-0.368192068703909,-1.79271979519477,14.7783255778346,6.07803293068383,0.349865557035841,1.4640421724467,-0.858464821397149,-0.841686844778017,0.927625692967904,-3.31281556758533
"124","17-10964",-0.876046736158223,-0.128360400737073,8.8782407551867,8.33496378639776,-0.461637975228307,-1.78228596082533,-1.07237371813528,-1.33549952364555,0.825082814558976,-18.7606897638872
"130","17-12172",0.98252586336806,11.7493616581382,10.7589519452051,7.16463091701856,0.996487011316148,-2.80951514722632,-2.29045871596509,-0.447852525061705,0.835039926567603,-18.0904643119953
"135","17-12564",-0.592748776066738,-5.85898455519946,0.131533938718945,-3.00781311371683,0.451068171637182,-2.65671753292672,-0.310695742140268,0.491973887948937,0.91204330356765,-5.56927919317095
"138","17-12623",-0.224123469184143,-11.8067647473911,0.211897273593664,-5.4370762265152,1.19621107047761,5.02265235812227,1.81859307185277,1.81925076011847,0.58252296240931,24.2542745416327
"140","17-12954",-1.09563929937507,-10.2632934612936,12.8112800790717,7.94611132035283,0.506952915186766,2.03085380892513,0.522099419592735,1.2119994376162,0.999155257404455,-8.92768938989806
"142","17-13024",-1.49037223089752,-8.30042855988949,6.16224233117552,5.24230761536708,0.348558575424001,-3.02203683800687,0.462344777466114,0.205654834067666,-1.07234859702383,-26.3341410688709
"159","17-13938",-0.0269238266866942,-14.7394520356378,-7.80937462230945,-12.0571606285576,0.336157599293607,2.84862371381418,2.84743404656663,2.14942717748024,0.117000262195694,20.8178903735594
"171","17-15352",0.357284414892728,-10.8533534378003,2.73185714985664,-10.40869061901,0.0338954911921761,2.83524554543175,1.29122398424607,-0.0484296560924875,1.762735184391,21.4209898497524
"176","17-15667",-0.689183967139826,-9.90845332220448,-2.32518347276238,-11.2813876046201,1.34480052027067,0.872391403136604,-0.246914352138305,1.26316424744709,0.208418708479672,26.2805458313198
"182","17-17526",0.781250519694826,-9.86700975269449,-8.35263451035055,-19.5488688906301,0.227264988861954,0.503135913601596,2.03859372371335,-0.855090614704373,0.850534147720619,24.1028207668539
"184","17-17739",-2.35965488312557,-23.3190407185311,-18.8305204328648,-14.2453309803236,1.84469778989723,11.9214920714562,1.82061476352746,4.39881198147052,0.971858509934131,85.0809363129615
"187","17-18159",-3.33107784250228,-11.8727471839718,-20.0225378609658,-15.8797198417916,-0.394996782794252,-5.29538674300976,-2.42094592630923,-1.70406371144243,0.745114552668103,26.2004447054792
"188","17-18176",-3.1448266355811,-4.0635427830988,-31.632082598818,-12.8182225472873,-1.11338341615128,-2.57816618698799,-1.84738467376542,-0.785119499694972,-1.85449492536557,36.2313414338079
"189","17-18320",-1.3333614250604,-1.92445265535946,-7.96352198235365,-4.58459653701761,-1.00617539792388,2.35249789230551,-0.900140245850281,-1.59767743418021,-0.490786146897858,29.0447057249669
"190","17-18529",0.177056538183066,5.33590171246781,1.05057116049161,0.603747734882241,0.401156574618255,0.28031771474889,-0.9393021276301,-0.4785419630375,-0.828165855616481,5.09642573483516
"191","17-18534",-0.692290373431543,-7.65499936963199,-15.5749846115785,-14.0120977447204,0.195743485465115,9.07714621214627,1.09453786099058,0.789245655291545,-1.19351702961427,69.1798048707851
"200","17-19355",0.105391784954929,-7.71384021371458,-6.18354263969643,-8.90505760436201,0.345168280443524,6.42230233378338,1.46400104964229,1.67184759847217,0.0642752901378829,40.6154394740927
